i3_avg,i3_min,i3_max,m3_avg,m3_min,m3_max,r3_avg,r3_min,r3_max,p3_avg,p3_min,p3_max,pa1_avg,pa1_min,pa1_max,pa2_avg,pa2_min,pa2_max,pa3_avg,pa3_min,pa3_max,pa4_avg,pa4_min,pa4_max,displacement_avg,displacement_min,displacement_max,label
24.852089854568675,5.594100521306942,70.97189065864477,47.52898008851663,4.929383447718562,70.14418671000963,58.247255120362,2.5,137.12389841538157,22.68947937238276,2.5846973657365457,59.61145605729928,5.6686264267418185,2.7723109377492485,11.447307325051193,2.5041932637373754,2.5,2.556743632719752,22.32177883880517,6.282552644325731,36.63016771108816,28.00229236872707,6.536568963059911,36.892045489603575,-0.13246601106247619,-0.1413912407162874,-0.12722732989934746,firm
59.306208635938994,2.5,131.3687927770004,67.62598010221643,12.148946519704097,95.52898921356199,70.36303234971118,2.5,155.14368856431963,2.5,2.5,2.5,9.98200296732578,4.8004140975556115,14.727977786878627,2.5050580977831944,2.5,2.545050741657123,15.128564985226888,3.7246985725904533,29.708299075936985,44.54848159726604,8.414015049347514,61.0373862904851,-0.19365810192624366,-0.22481669017375674,-0.15875026336607473,firm
26.194359569696854,2.983494270479634,50.30619807764051,51.909267163461124,2.5,93.63445846081457,51.1830394816439,2.5,143.33001990270097,3.228200686468019,2.5,6.143949113671259,5.038160341423718,3.3449675619255266,10.201846593812453,2.5,2.5,2.5,37.066544282403605,2.853025387323565,65.907335955388,18.40337220000535,3.1850173836973243,29.873292794546362,-0.13650528331298453,-0.1520144064756915,-0.12617939912396428,firm
15.2656082215075,6.975563417694171,24.20075417601167,32.367666517791776,2.5,54.33255657204148,46.76053757307574,2.5,120.55715865912474,2.5,2.5,2.5,8.4083063732719,2.5,15.60600103889645,2.53485294301537,2.5,2.6736725433460404,24.147444484898315,2.7694735163989863,43.616285343451175,27.032827206664425,2.5,61.32613101928925,-0.1606266116542232,-0.197168978995928,-0.12192285814358195,firm
26.051492987028862,5.040907233499377,44.95704019068463,34.5165413279336,4.512625066300022,64.12442910130686,17.824840083721792,2.5,65.68139189173733,2.5,2.5,2.5,5.955375149906777,3.7577987557780435,9.019680313446058,2.546441094526818,2.5,2.7548281325251427,37.06676445199717,2.828319084933932,63.96267818121228,23.265962437641655,3.8222762257296616,38.782760477173476,-0.14118493423148243,-0.15781267276443578,-0.1272706712240413,firm
15.378198700208332,6.209747014330084,25.26330078321898,33.49583424781312,2.506339080853634,64.92202050370285,85.24194075158634,2.5,166.88159105107638,2.5,2.5,2.5,4.591992737306588,3.0375023435945603,6.624193615840472,2.5,2.5,2.5,33.59530854409919,6.8554198071845756,56.53119517575691,19.80490050191201,3.5567021472282505,35.40944651777726,-0.16560049224430243,-0.20223241019999874,0.0,firm
40.188203531749956,7.595370298019258,75.48600968460626,47.18135550905354,2.5,89.56899800033828,55.60447615424188,2.5,132.23233410708437,2.5251601552508345,2.5,3.1873312861370398,4.947416583020709,2.653821947727621,9.68263969449604,2.5,2.5,2.5,24.667783648416663,2.5,66.86692009566697,14.183647276745093,2.5,32.06329728236306,-0.1827040018018554,-0.21780660755897363,-0.15914372776672478,firm
20.95096999926027,2.5,34.10763116945609,29.606642495233288,2.5,61.33951337457355,19.567031427122476,2.5,93.96168642299108,2.5,2.5,2.5,5.334909338869788,2.647562097944918,13.901807192833319,2.5,2.5,2.5,22.138125407332247,3.744014718602675,43.344013570415875,22.110298717675796,2.9870427040128447,35.90467363782358,-0.1515310662393738,-0.19583998890025206,-0.12887766280984633,firm
6.17520668501248,3.566218979713694,13.806911917018846,38.510381660121006,3.3084491918906473,91.01746759196531,134.03591382927692,44.47184171094481,187.37559591224704,13.191275289016259,2.5,23.421280224887244,4.647187032029072,2.5206295699347927,7.7187366965709,2.648132335821601,2.5,3.24111278926203,9.088775855301597,3.2041372431561466,19.594518411598866,21.67462922112931,4.879434473342654,45.70889541135789,-0.1755370847395396,-0.19241444877035319,-0.15753507797489033,firm
6.058501082328477,2.5,9.068482258837426,59.68700688409223,2.5,92.04266030570619,63.32488486618424,2.5,127.72583787042275,3.018468927147227,2.5,6.030675519780451,4.377475813907212,2.9742638467360325,7.305365000240822,2.5,2.5,2.5,26.664929408647886,3.3242948033128585,57.00258990105169,10.373144749117564,4.493167371064963,17.544126739100115,-0.15544022910258243,-0.18217672295881243,-0.13760778523466774,firm
16.74551129199682,3.3028401173407373,26.629103367807733,43.66815355346041,2.5,80.84213649375398,100.58612087415491,2.5,162.08395289918505,4.445988842790534,2.5,21.56480759051944,9.555531827847508,2.9722353687246206,21.630751450224782,2.5,2.5,2.5,19.04729560249956,4.750207898313755,37.166777398391,41.69460726379023,12.893429551170522,61.00354548435103,-0.15103610750222632,-0.17248237110552145,-0.13682909257712883,firm
